156	30918
421	30197
398	17107
74	15367
18	14173
131	13863
77	7851.7
237	7667.4
56	6880
318	5738.1
251	4782.6
28	4692.6
297	4077.4
379	3915.7
249	3902.8
252	3684.6
428	3135.4
106	2884.8
245	2774.3
59	2708.7
418	2593.4
107	2492.5
268	2481.6
298	2474.8
228	2439.4
388	2382.2
241	2357.8
312	2266
235	2204.5
262	2178
30	2170.3
387	2166.1
383	2164.3
267	2124.1
277	2076.1
403	2058.5
250	2014.1
69	1969.8
292	1941.3
255	1922.3
384	1847.5
103	1696
176	1684.2
419	1672.3
293	1633.5
119	1631.5
133	1554.2
14	1501.3
193	1492.7
415	1482
389	1457.5
300	1456.2
203	1399.3
234	1385.7
236	1368.4
412	1338.9
400	1334.4
301	1316.6
27	1302.4
124	1297.6
155	1291.2
424	1265.6
377	1265.3
11	1239.1
117	1223.9
448	1188
310	1159.3
220	1122
12	1081.2
231	1077.5
128	1068.1
206	1066.7
319	1057.8
227	1019.6
443	1010.5
41	1006.9
20	1002.5
420	992.06
314	987.41
408	968.63
136	957.45
317	955.14
207	952.7
113	929.29
385	887.33
36	887.1
31	884.87
405	877.09
266	875.68
261	854.29
23	851.52
335	850
259	850
122	845.24
99	843.27
123	841.63
378	838.41
146	791.16
24	789.44
13	784.27
217	757.37
125	751.66
186	751.42
323	714.66
211	711.66
357	710.5
414	709.61
130	698.22
239	677.78
5	657.45
15	653.7
17	652.15
105	651.23
139	628.6
51	611.45
373	607.69
98	605.22
9	603.97
200	601.73
247	589.9
114	588.07
437	587.69
386	584.58
449	565.97
308	562.93
253	545.72
315	540.55
115	522.86
86	508.47
299	508.35
132	483.19
257	480.93
4	479.97
6	471.45
112	471.38
121	449.71
265	427.33
150	420.19
134	418.14
26	410.29
393	395.57
197	387.24
29	385.49
70	382.64
7	379.46
244	378.6
306	377.27
445	377.21
33	375.59
296	370.92
290	368.92
35	366.87
396	361.46
309	359.73
219	356.11
84	348.95
101	342.17
10	340.36
90	337.49
167	336.46
254	334.02
232	331.1
427	329.04
38	325.82
447	322.75
426	320.24
278	316.78
71	316.55
194	315.68
313	311.69
120	302.92
196	299.42
111	297.52
8	292.14
165	284.75
198	281.26
89	281.05
311	270.01
336	268.43
334	265.45
104	262.89
210	261.72
109	254.37
64	250.97
